title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Moon Is Sharp,Grouper,16CMp2RKshLATGZnpjPPgB,0.177,0.237,2,-20.727,1,0.0395,0.99,0.919,0.112,0.144,66.603
Triennale,Brian Eno,1TpfK6G0X5muasT0eQsipa,0.211,0.108,10,-17.314,0,0.042,0.468,0.852,0.321,0.0444,79.025
Goes By,Emeralds,2Paw6rRs12mZ6AfIhuP9Un,0.0888,0.584,4,-11.618,1,0.0463,0.845,0.941,0.19,0.143,86.114
Atomos VII,A Winged Victory for the Sullen,1NO5mFfik5T0LLsoiJsbE7,0.109,0.035,1,-25.038,1,0.0437,0.884,0.858,0.0996,0.0228,85.301
Treefingers,Radiohead,4LrfsgQ5AGouvH3PlxW2PC,0.165,0.146,6,-21.357,1,0.0362,0.827,0.887,0.109,0.0577,134.508
Essence,Laraaji,4hBHEKTKdpGtP1AzsjNR8l,0.134,0.0424,0,-22.3,1,0.0448,0.976,0.929,0.0581,0.0321,70.991
Fib01a,Keith Fullerton Whitman,4IJCUAfJub0AmmN15YJwmQ,0.141,0.149,10,-28.209,1,0.0337,0.963,0.913,0.0953,0.0376,82.412
Dissolving Clouds,Biosphere,2IB1P4oT2EHRFJA5O7eRnC,0.0644,0.0463,3,-29.709,1,0.044,0.987,0.781,0.111,0.0289,74.571
Space 11 (Invisible Pages Over),Max Richter,786FgaRDsjLgvViIu30sam,0.139,0.0895,7,-28.274,0,0.043,0.875,0.856,0.0638,0.033,142.191
Water Memory 1,Emily A. Sprague,7x1ct7s9fVqkIWwbah9NO1,0.0657,0.0608,7,-28.669,0,0.0422,0.972,0.963,0.107,0.0699,66.706
Jimmy V,Mary Lattimore,4R8lTXhSoaNPtbda76jSWh,0.338,0.0925,5,-16.555,0,0.0438,0.991,0.918,0.116,0.0395,79.336
A Sea Of Love,Huerco S.,7feFMZxaNV6km5QZAXYyv0,0.141,0.116,10,-28.718,0,0.041,0.848,0.872,0.107,0.125,102.494
unother,Terekke,363mTP8zzRAr36wlbcdHRP,0.245,0.0862,4,-30.304,1,0.0422,0.994,0.784,0.092,0.039,69.895
FEET,Hiroshi Yoshimura,2XBXn7yluQZ6bFReesUjrt,0.285,0.00426,0,-30.611,1,0.0397,0.991,0.914,0.0764,0.0896,121.487
