,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2521,0.716,0.679,1,-11.338,0,0.0422,0.316,8.36e-06,0.075,0.964,123.593
2522,0.615,0.487,11,-16.615,0,0.0335,0.0324,0.176,0.718,0.5,95.502
2523,0.616,0.778,1,-5.809,1,0.249,0.0499,0.0,0.204,0.145,133.785
2524,0.721,0.828,1,-5.791,1,0.156,0.00506,0.000387,0.285,0.44,153.415
2525,0.406,0.272,8,-12.746,1,0.0363,0.826,2.12e-05,0.119,0.227,104.012
2526,0.616,0.813,9,-8.069,1,0.0275,0.0164,0.0498,0.235,0.778,131.99
2527,0.904,0.944,4,-2.626,1,0.138,0.0339,0.00592,0.075,0.931,131.599
2528,0.638,0.955,6,-2.247,1,0.0274,0.00786,0.000128,0.16,0.6,137.987
2529,0.782,0.906,2,-5.229,1,0.152,0.017,0.0503,0.293,0.697,120.064
2530,0.781,0.728,1,-4.981,1,0.0621,0.0509,1.94e-06,0.257,0.395,102.99
2531,0.801,0.819,11,-5.189,1,0.158,0.292,0.0,0.515,0.811,139.969
2532,0.48,0.967,4,-4.586,0,0.235,0.0156,0.0,0.356,0.206,101.997
2533,0.609,0.662,5,-9.948,1,0.0669,0.537,2.8e-06,0.122,0.951,143.477
2534,0.875,0.551,6,-6.744,0,0.317,0.0488,0.00728,0.0537,0.861,146.092
2535,0.773,0.278,1,-14.78,1,0.105,0.297,8.91e-05,0.0918,0.0373,96.994
2536,0.399,0.721,4,-5.562,0,0.0523,0.0621,0.00282,0.278,0.113,160.125
2537,0.63,0.821,11,-6.726,0,0.0467,0.000632,0.479,0.0963,0.271,102.022
2538,0.639,0.669,4,-7.574,0,0.0507,0.225,0.00117,0.1,0.57,116.22
2539,0.762,0.577,8,-5.229,1,0.175,0.0309,0.0,0.108,0.287,142.055
2540,0.756,0.741,9,-6.426,0,0.0364,0.43,0.00113,0.0807,0.691,120.445
2541,0.706,0.785,2,-6.475,1,0.271,0.0131,0.0,0.164,0.377,160.033
2542,0.459,0.727,0,-11.777,1,0.0303,0.00614,0.0652,0.384,0.955,149.231
2543,0.343,0.65,1,-4.624,1,0.0909,0.0299,0.0,0.646,0.315,170.697
2544,0.719,0.896,10,-4.104,1,0.0413,0.121,2.47e-05,0.138,0.8,120.008
2545,0.628,0.692,2,-5.64,1,0.202,0.00244,0.0129,0.668,0.0963,124.887
2546,0.91,0.444,1,-8.126,0,0.344,0.022,0.0,0.137,0.53,149.953
2547,0.725,0.662,9,-5.068,1,0.0404,0.0144,0.0,0.0996,0.814,122.989
2548,0.378,0.974,6,-4.055,1,0.194,0.00192,0.0139,0.0588,0.824,203.715
2549,0.782,0.828,9,-5.82,0,0.0496,0.00462,5.44e-05,0.0973,0.661,127.968
2550,0.495,0.856,0,-5.123,0,0.0311,0.000219,0.0,0.103,0.609,158.024
2551,0.562,0.414,7,-7.032,1,0.349,0.0445,0.0,0.204,0.474,155.826
2552,0.753,0.546,8,-6.824,0,0.252,0.0201,0.0,0.105,0.62,97.974
2553,0.764,0.422,0,-7.265,0,0.119,0.0409,0.0,0.152,0.268,82.986
2554,0.673,0.773,8,-7.099,1,0.0576,0.00118,0.000569,0.148,0.265,124.999
2555,0.615,0.804,0,-8.322,1,0.471,0.00174,6.39e-06,0.678,0.443,152.995
2556,0.449,0.813,8,-5.478,1,0.129,0.00142,0.000172,0.106,0.452,177.962
2557,0.737,0.893,2,-4.151,1,0.0687,0.00313,0.0,0.245,0.534,136.039
2558,0.785,0.478,2,-8.735,1,0.0419,0.0254,0.0,0.0901,0.39,134.002
2559,0.95,0.59,8,-6.508,0,0.29,0.00534,0.0,0.11,0.219,130.003
2560,0.396,0.293,2,-14.062,1,0.0275,0.941,0.000196,0.105,0.343,100.307
2561,0.239,0.819,3,-3.583,1,0.0393,0.304,0.0,0.0855,0.439,171.449
2562,0.432,0.282,5,-15.051,1,0.0289,0.414,0.00593,0.743,0.115,98.192
2563,0.634,0.659,1,-7.991,0,0.0265,0.381,0.0,0.278,0.385,97.128
2564,0.358,0.399,7,-15.799,1,0.0383,0.718,0.000689,0.438,0.287,119.922
2565,0.524,0.334,11,-10.759,0,0.0661,0.465,0.00313,0.2,0.355,123.646
2566,0.842,0.309,8,-16.818,1,0.0598,0.265,0.000673,0.135,0.814,75.586
2567,0.456,0.419,2,-10.594,1,0.0247,0.117,0.0,0.178,0.425,146.148
2568,0.431,0.789,2,-8.224,1,0.0449,0.0122,0.0921,0.119,0.425,104.036
2569,0.472,0.48,1,-11.893,1,0.0308,0.000204,0.00275,0.0914,0.126,123.023
2570,0.387,0.238,0,-13.496,1,0.0339,0.878,0.000715,0.194,0.279,115.354
2571,0.576,0.449,1,-8.764,0,0.0287,0.085,0.0,0.119,0.0552,129.323
2572,0.596,0.875,9,-7.392,1,0.0977,0.147,7e-05,0.0909,0.737,109.118
2573,0.324,0.472,7,-7.756,0,0.0434,0.54,0.0371,0.214,0.184,109.014
2574,0.363,0.528,5,-10.08,1,0.0305,0.0661,0.0,0.334,0.317,182.21
2575,0.501,0.378,4,-9.37,1,0.029,0.735,0.0,0.119,0.178,119.987
2576,0.273,0.537,2,-9.612,1,0.0306,0.0241,0.0,0.0922,0.232,81.814
2577,0.476,0.331,5,-14.884,1,0.0305,0.31,2.82e-06,0.172,0.24,130.574
2578,0.449,0.424,7,-14.06,1,0.0323,0.32,1.69e-06,0.107,0.259,125.494
2579,0.251,0.467,11,-7.88,0,0.0348,0.00485,0.00021,0.0815,0.0685,113.112
2580,0.578,0.6,8,-5.7,1,0.0455,0.144,0.0,0.426,0.646,76.999
2581,0.47,0.792,0,-8.932,1,0.26,0.171,1.28e-06,0.313,0.214,170.085
2582,0.441,0.616,6,-6.69,1,0.0387,0.186,0.0,0.145,0.294,140.853
2583,0.508,0.371,2,-15.107,0,0.0406,0.746,0.00815,0.395,0.511,135.115
2584,0.276,0.235,0,-14.352,1,0.0315,0.94,1.01e-05,0.132,0.472,170.55
2585,0.294,0.319,11,-10.359,1,0.0303,0.574,0.000106,0.0997,0.313,132.343
2586,0.816,0.775,11,-3.323,1,0.234,0.16,0.00031,0.0543,0.527,93.431
